rang_forme,player,rank,elo_global,elo_hard,elo_clay,elo_grass,momentum_90j,winrate_90j,winrate_last20,matchs_90j,serie,derniere_date,n_matchs_total,etabli,indice_forme,indice_forme_hard,indice_forme_clay,indice_forme_grass
1,Jannik Sinner,2,1941,1916,1789,1774,9.0,1.0,0.9,7,14,2026-07-12,434,True,151.5,152.5,142.8,144.3
2,Novak Djokovic,5,1944,1922,1856,1841,1.0,0.833,0.8,6,-1,2026-07-10,670,True,148.2,149.6,147.6,149.9
3,Carlos Alcaraz,1,1924,1857,1850,1813,0.0,,0.8,0,-1,2026-04-12,355,True,145.8,142.0,146.6,145.8
4,Alexander Zverev,3,1801,1774,1779,1668,3.0,0.75,0.65,8,-1,2026-07-12,746,True,131.8,131.5,136.4,124.6
5,Daniil Medvedev,13,1796,1800,1654,1683,-2.0,0.667,0.75,6,2,2026-06-17,620,True,131.3,134.4,120.6,126.7
6,Jack Draper,5,1726,1702,1643,1652,-3.0,0.5,0.65,2,-1,2026-06-26,174,True,122.3,121.8,117.5,120.8
7,Alex de Minaur,7,1747,1735,1624,1652,-4.0,0.5,0.5,4,-1,2026-06-14,503,True,122.1,123.1,112.8,118.4
8,Stefanos Tsitsipas,33,1733,1699,1771,1601,1.0,0.667,0.5,3,-1,2026-07-01,564,True,122.0,120.5,132.7,112.7
9,Arthur Fils,21,1681,1633,1666,1627,12.0,1.0,0.65,3,5,2026-04-29,153,True,121.8,118.3,124.6,121.5
10,Hubert Hurkacz,83,1707,1687,1623,1639,2.0,0.75,0.65,4,1,2026-06-24,389,True,121.7,121.5,116.4,120.3
11,Grigor Dimitrov,47,1711,1705,1629,1612,0.0,0.667,0.6,3,1,2026-07-04,560,True,120.9,122.3,115.9,115.4
12,Ben Shelton,8,1698,1684,1617,1611,7.0,0.8,0.55,5,2,2026-06-14,200,True,120.8,121.2,115.6,116.5
13,Casper Ruud,13,1711,1641,1750,1625,-1.0,0.5,0.55,4,-1,2026-05-31,470,True,119.9,114.2,130.2,116.2
14,Felix Auger-Aliassime,5,1701,1701,1616,1625,-3.0,0.5,0.6,6,-1,2026-07-07,452,True,119.0,121.0,113.4,116.3
15,Taylor Fritz,6,1732,1712,1635,1649,-5.0,0.4,0.4,5,-1,2026-07-08,566,True,118.9,118.9,112.5,116.3
16,Andrey Rublev,16,1708,1694,1676,1642,-2.0,0.0,0.5,1,-1,2026-04-19,589,True,118.6,119.1,119.9,117.5
17,Tommy Paul,21,1697,1661,1635,1632,-2.0,0.5,0.55,6,-2,2026-06-26,359,True,118.2,116.1,115.4,116.9
