rang_forme,player,rank,elo_global,elo_hard,elo_clay,elo_grass,momentum_90j,winrate_90j,winrate_last20,matchs_90j,serie,derniere_date,n_matchs_total,etabli,indice_forme,indice_forme_hard,indice_forme_clay,indice_forme_grass
1,Sabalenka A.,,1697,1694,1634,1671,-5.0,0.6,0.75,5,1,2026-06-17,70,True,133.2,134.7,124.5,131.6
2,Svitolina E.,,1643,1638,1600,1624,10.0,0.667,0.75,6,1,2026-06-23,46,True,125.1,125.5,119.3,123.9
3,Noskova L.,,1632,1626,1596,1610,41.0,0.857,0.6,7,6,2026-07-11,35,True,124.2,124.3,119.7,122.2
4,Keys M.,,1621,1602,1607,1608,20.0,0.714,0.7,7,-1,2026-07-06,26,True,121.4,118.7,121.5,121.1
5,Kostyuk M.,,1616,1598,1596,1598,39.0,0.857,0.6,7,-1,2026-07-09,33,True,121.1,118.5,119.7,119.6
6,Sherif M.,,1605,1600,1592,1599,52.0,1.0,0.7,8,9,2026-07-16,40,True,120.8,120.7,120.7,121.6
7,Kessler M.,,1615,1603,1615,1608,9.0,1.0,0.778,1,4,2026-06-22,18,True,120.0,118.6,123.0,120.8
8,Selekhmeteva O.,,1614,1601,1603,1608,8.0,1.0,0.789,1,1,2026-06-20,19,True,119.8,118.3,120.4,120.9
9,Eala A.,,1607,1614,1601,1584,21.0,0.714,0.75,7,-2,2026-06-22,35,True,119.8,122.3,121.3,117.1
10,Gauff C.,,1636,1629,1622,1598,6.0,0.667,0.55,3,1,2026-07-05,55,True,119.4,119.3,119.9,114.1
11,Marcinko P.,,1601,1593,1597,1585,23.0,0.714,0.75,7,1,2026-07-15,16,True,118.9,118.3,120.7,117.6
12,Muchova K.,,1589,1573,1576,1574,40.0,0.8,0.75,10,-1,2026-07-11,39,True,118.6,116.1,118.0,117.2
13,Rybakina E.,,1628,1610,1599,1616,-8.0,0.556,0.65,9,-3,2026-06-18,51,True,117.5,115.1,114.5,117.5
14,Bejlek S.,,1610,1617,1599,1593,-5.0,0.5,0.8,2,1,2026-07-15,28,True,117.2,119.7,117.7,115.8
15,Chwalinska M.,,1596,1598,1581,1596,14.0,0.667,0.722,6,-2,2026-06-26,18,True,116.0,117.4,115.3,118.0
16,Erjavec V.,,1608,1608,1596,1608,-7.0,0.5,0.75,2,1,2026-07-13,21,True,115.6,116.6,115.8,117.8
17,Anisimova A.,,1619,1623,1613,1601,-7.0,0.0,0.55,1,-1,2026-07-04,42,True,114.1,116.1,115.9,112.7
18,Montgomery R.,,1572,1582,1567,1567,32.0,0.8,0.667,5,4,2026-06-14,18,True,113.2,115.9,114.0,113.6
19,Valentova T.,,1589,1589,1589,1589,3.0,0.667,0.733,3,1,2026-07-14,15,True,113.2,114.0,115.5,115.0
20,Badosa P.,,1581,1564,1580,1574,20.0,1.0,0.65,3,3,2026-07-11,28,True,112.7,110.0,114.7,112.9
21,Baptiste H.,,1568,1567,1557,1568,26.0,1.0,0.667,2,5,2026-04-28,15,True,111.5,111.9,110.8,112.9
22,Cirstea S.,,1578,1570,1575,1578,4.0,0.667,0.75,3,1,2026-05-24,24,True,111.5,110.5,112.9,113.1
23,Swiatek I.,,1610,1578,1606,1598,-7.0,0.0,0.5,1,-2,2026-05-14,42,True,111.4,105.9,113.4,111.1
24,Mertens E.,,1569,1569,1567,1552,18.0,1.0,0.7,2,2,2026-06-22,30,True,111.0,111.6,112.4,108.8
25,Pliskova K.,,1572,1566,1565,1565,26.0,0.75,0.6,4,2,2026-06-16,22,True,111.0,110.4,111.4,111.1
26,Bencic B.,,1600,1608,1585,1584,-15.0,0.333,0.65,3,-1,2026-07-05,21,True,111.0,113.6,110.3,109.6
27,Andreeva M.,,1602,1603,1580,1580,-6.0,0.4,0.55,5,2,2026-06-06,44,True,110.9,112.1,108.8,108.3
28,Shnaider D.,,1589,1574,1581,1582,3.0,0.5,0.55,2,-1,2026-06-04,31,True,109.8,107.6,110.4,110.2
29,Zheng Q.,,1600,1608,1586,1587,-14.0,0.333,0.55,3,1,2026-07-16,34,True,109.3,111.9,108.8,108.6
30,Jovic I.,,1590,1597,1584,1590,-26.0,0.0,0.706,2,-2,2026-06-13,17,True,109.2,111.5,110.3,111.1
31,Osorio C.,,1583,1582,1583,1575,-13.0,0.333,0.7,3,-1,2026-07-02,22,True,108.9,109.4,111.1,108.9
32,Alexandrova E.,,1576,1561,1573,1573,2.0,0.5,0.6,2,1,2026-07-01,23,True,108.0,105.6,109.4,109.0
33,Oliynykova O.,,1569,1577,1563,1565,0.0,,0.684,0,-2,2026-04-16,19,True,107.9,110.2,108.4,108.5
34,Andreescu B.,,1560,1561,1555,1560,11.0,1.0,0.667,1,1,2026-04-28,15,True,107.6,108.3,108.0,108.9
35,Mboko V.,,1563,1562,1558,1563,11.0,0.571,0.6,7,-2,2026-06-10,20,True,106.9,107.3,107.5,108.3
36,Golubic V.,,1560,1565,1552,1553,5.0,0.667,0.6,3,-1,2026-06-20,28,True,105.4,106.9,105.2,105.2
37,Raducanu E.,,1561,1560,1561,1556,0.0,0.5,0.611,2,-1,2026-06-14,18,True,105.0,105.3,106.6,105.3
38,Kawa K.,,1538,1550,1523,1538,64.0,1.0,0.55,6,6,2026-07-14,23,True,105.0,107.7,102.7,105.9
39,Parks A.,,1545,1533,1547,1545,18.0,1.0,0.6,2,4,2026-07-13,23,True,104.5,102.4,106.2,105.5
40,Siegemund L.,,1562,1566,1556,1558,-12.0,0.0,0.647,1,-1,2026-05-10,17,True,104.0,105.3,104.3,104.5
41,Joint M.,,1566,1541,1564,1565,-12.0,0.0,0.6,1,-2,2026-05-11,27,True,103.9,99.3,105.2,105.1
42,Fernandez L.,,1549,1543,1549,1540,1.0,0.5,0.65,4,1,2026-06-21,31,True,103.5,102.7,104.8,102.7
43,Teichmann J.,,1564,1566,1554,1564,-12.0,0.333,0.6,3,-2,2026-05-31,22,True,103.5,104.5,103.0,104.9
44,Siniakova K.,,1568,1558,1557,1565,-12.0,0.333,0.55,3,1,2026-06-15,26,True,103.4,101.9,102.7,104.2
45,Arango E.,,1545,1545,1545,1545,7.0,1.0,0.6,1,1,2026-05-19,20,True,102.8,103.1,104.0,103.8
46,Kasatkina D.,,1537,1528,1530,1541,5.0,0.6,0.65,5,-1,2026-06-22,27,True,101.8,100.2,101.3,103.5
47,Navarro E.,,1547,1546,1539,1543,10.0,0.6,0.5,5,-1,2026-06-21,38,True,101.8,102.0,101.3,102.0
48,Minnen G.,,1539,1530,1536,1546,7.0,0.667,0.6,3,-1,2026-07-11,22,True,101.6,100.0,102.0,104.0
49,Kalinina A.,,1544,1542,1540,1543,-2.0,0.5,0.6,4,-1,2026-05-23,24,True,101.2,101.1,101.5,102.0
50,Vekic D.,,1536,1532,1532,1534,25.0,0.8,0.45,5,2,2026-06-14,28,True,101.1,100.5,101.2,101.5
51,Krejcikova B.,,1554,1560,1551,1542,-11.0,0.429,0.55,7,-2,2026-06-23,23,True,100.8,102.5,101.6,99.4
52,Andreeva E.,,1532,1530,1532,1532,9.0,1.0,0.6,1,1,2026-07-15,15,True,100.6,100.4,101.4,101.3
53,Stearns P.,,1537,1521,1537,1536,5.0,0.5,0.562,2,-1,2026-05-29,16,True,100.2,97.2,101.2,100.9
54,Sramkova R.,,1536,1533,1530,1533,7.0,0.667,0.55,3,2,2026-05-20,31,True,100.1,99.7,99.8,100.3
55,Paolini J.,,1544,1536,1538,1532,-6.0,0.0,0.55,1,-3,2026-07-08,40,True,99.6,98.3,99.5,98.1
56,Begu I.,,1544,1555,1535,1536,-11.0,0.0,0.588,1,-1,2026-06-24,17,True,99.5,102.1,98.7,98.8
57,Bondar A.,,1537,1529,1538,1537,-1.0,0.5,0.55,2,1,2026-05-18,21,True,99.1,97.7,100.3,99.9
58,Tomljanovic A.,,1539,1542,1536,1537,-11.0,0.0,0.611,1,-2,2026-06-13,18,True,99.0,99.9,99.4,99.5
59,Pegula J.,,1551,1544,1541,1550,-8.0,0.333,0.45,3,-2,2026-06-21,55,True,98.9,97.8,98.0,99.8
60,Kraus S.,,1532,1528,1527,1531,1.0,0.5,0.579,4,1,2026-07-16,19,True,98.9,98.3,98.7,99.5
61,Masarova R.,,1537,1518,1536,1540,-9.0,0.0,0.6,1,-3,2026-06-06,21,True,98.7,95.1,99.5,100.2
62,Jones F.,,1516,1506,1518,1514,25.0,0.75,0.529,4,1,2026-07-15,17,True,98.7,96.6,99.6,98.7
63,Lepchenko V.,,1546,1546,1540,1546,-9.0,0.5,0.5,6,-2,2026-07-13,25,True,98.6,99.0,98.5,99.7
64,Putintseva Y.,,1523,1511,1523,1523,14.0,0.667,0.526,3,1,2026-07-16,19,True,98.2,95.9,98.9,98.8
65,Sonmez Z.,,1528,1528,1528,1523,10.0,1.0,0.5,1,1,2026-06-13,22,True,98.1,98.3,98.9,97.7
66,Charaeva A.,,1541,1548,1538,1541,-22.0,0.4,0.6,5,-3,2026-07-16,22,True,97.8,99.5,98.2,98.7
