player,matchs_chartes,ace_pct,df_pct,first_in_pct,first_won_pct,second_won_pct,bp_saved_pct,return_won_pct,winners_match,ue_match,w_ue_ratio,fh_winners_match,bh_winners_match
Roger Federer,722,10.2,2.2,62.4,77.0,56.4,65.9,39.3,33.9,28.5,1.19,16.6,7.9
Novak Djokovic,550,7.2,2.8,65.3,73.3,54.9,64.0,40.5,26.8,26.4,1.02,12.8,6.9
Rafael Nadal,424,4.3,2.3,68.9,70.6,55.7,63.9,40.1,25.3,23.3,1.09,15.2,5.9
Hubert Hurkacz,321,14.6,2.3,63.5,77.3,52.7,66.9,34.4,30.6,29.6,1.03,12.4,5.6
Jannik Sinner,297,8.3,2.6,60.6,76.2,55.6,67.0,40.7,27.4,27.1,1.01,13.6,5.7
Daniil Medvedev,284,10.6,5.0,62.8,75.2,50.7,63.1,39.4,27.9,25.3,1.1,9.4,6.6
Andy Murray,256,8.1,3.1,59.4,72.7,50.2,60.4,38.2,26.8,28.2,0.95,11.4,7.4
Pete Sampras,239,14.2,4.6,58.6,80.4,53.9,68.2,36.2,40.5,27.4,1.48,15.9,10.2
Carlos Alcaraz,221,5.6,3.0,65.3,72.1,56.0,62.7,41.2,32.9,29.5,1.12,17.7,6.8
Andre Agassi,218,5.2,2.7,63.2,70.0,54.1,62.7,38.8,29.4,27.8,1.06,14.0,9.9
Stefanos Tsitsipas,200,8.8,3.1,62.8,75.8,52.9,64.2,33.8,30.0,27.4,1.1,14.8,4.9
Alexander Zverev,195,10.4,4.2,69.4,73.9,49.0,60.8,36.0,30.0,27.8,1.08,11.0,6.8
Stefan Edberg,190,3.9,4.3,62.7,71.5,52.1,62.6,38.3,33.9,25.7,1.32,16.4,13.6
Dominic Thiem,183,7.0,3.2,61.8,71.9,52.7,62.7,36.4,27.7,29.7,0.93,13.7,6.5
Andrey Rublev,176,9.9,2.8,62.6,75.8,50.6,62.7,37.2,30.6,23.3,1.31,13.2,4.2
Grigor Dimitrov,174,8.5,4.5,62.7,74.3,49.8,59.9,35.7,28.1,28.6,0.98,13.1,5.3
Casper Ruud,170,7.0,2.7,65.4,72.8,53.9,65.3,36.7,26.9,23.6,1.14,14.2,4.2
Boris Becker,154,10.7,5.5,57.0,77.1,50.5,65.5,37.2,39.5,29.7,1.33,16.1,11.4
Juan Martin Del Potro,152,9.7,2.8,64.1,74.3,52.2,63.4,35.9,27.9,26.3,1.06,13.3,4.6
Stan Wawrinka,140,8.5,2.7,58.1,72.7,53.6,62.9,35.0,32.1,34.6,0.93,14.4,7.7
Alex De Minaur,140,4.4,3.3,58.5,70.2,52.3,60.1,38.7,21.6,26.7,0.81,10.7,5.1
Gael Monfils,134,9.4,5.0,61.7,72.6,47.8,61.0,37.0,28.9,31.2,0.93,12.1,6.2
Lleyton Hewitt,131,7.4,4.2,53.4,73.6,51.9,59.9,38.4,29.0,28.6,1.02,13.3,7.0
Ivan Lendl,129,7.7,2.8,55.9,73.1,52.1,62.2,39.4,34.7,27.8,1.25,15.5,11.9
Taylor Fritz,128,12.6,2.6,61.4,78.0,53.6,62.8,34.5,31.0,25.7,1.21,11.6,4.8
Lorenzo Musetti,124,4.6,2.5,64.9,69.3,51.5,57.4,37.7,25.3,26.4,0.96,12.9,6.5
Nick Kyrgios,119,18.0,4.0,67.0,77.9,53.1,71.2,31.7,40.4,28.0,1.45,11.9,6.3
Tallon Griekspoor,116,10.1,3.4,64.0,73.8,50.6,63.7,32.6,30.4,29.4,1.03,14.4,5.5
Andy Roddick,114,15.1,2.5,64.4,76.7,52.8,61.5,32.6,32.4,25.7,1.26,11.7,5.1
Botic Van De Zandschulp,111,7.1,5.0,63.0,70.9,47.1,58.6,37.2,27.6,36.0,0.77,15.3,5.0
Felix Auger Aliassime,102,11.9,4.9,63.6,75.9,48.3,62.2,34.5,30.2,30.8,0.98,13.6,4.1
Alexander Bublik,99,14.1,8.3,60.5,75.4,45.5,63.2,33.6,32.8,29.9,1.1,11.5,6.1
Richard Gasquet,95,5.8,3.3,61.2,69.7,49.3,56.6,33.5,25.4,23.2,1.1,10.2,8.3
Matteo Berrettini,94,13.2,2.1,65.5,77.7,51.6,64.3,33.6,34.2,31.1,1.1,15.4,4.0
Denis Shapovalov,89,9.5,6.2,60.1,74.4,50.1,65.4,34.8,35.9,35.2,1.02,16.4,6.3
John Isner,87,20.4,2.5,69.7,77.5,54.1,70.1,26.6,41.4,31.2,1.33,14.7,4.9
Tomas Berdych,86,8.9,2.9,57.7,74.5,49.0,58.8,31.7,27.7,28.7,0.96,14.3,5.0
Marin Cilic,84,11.4,4.1,57.0,74.8,48.5,63.9,34.3,33.6,35.9,0.94,15.8,5.5
Marat Safin,82,11.3,2.4,55.8,75.2,52.0,62.3,36.4,38.3,37.2,1.03,13.6,10.7
Jo Wilfried Tsonga,82,11.4,2.9,61.3,75.5,48.5,64.0,33.7,31.9,32.5,0.98,15.4,6.0
Milos Raonic,82,18.4,4.1,63.1,80.7,51.5,68.5,31.2,39.5,30.6,1.29,15.5,4.9
Karen Khachanov,80,9.2,2.6,64.9,71.6,51.4,63.2,35.5,28.3,28.5,0.99,12.0,6.2
Roberto Bautista Agut,79,3.9,2.0,67.5,69.9,53.3,57.7,35.0,21.4,23.7,0.91,12.4,3.7
Tommy Paul,77,5.8,2.6,62.4,70.2,51.4,61.3,37.4,29.6,30.2,0.98,13.8,6.2
David Goffin,75,5.7,3.9,57.8,70.3,47.6,58.1,37.7,26.8,31.5,0.85,13.8,6.5
David Ferrer,74,2.8,3.4,62.0,64.3,48.2,55.0,36.8,18.6,30.1,0.62,10.9,4.8
Kei Nishikori,72,3.6,2.9,61.5,68.7,51.0,59.1,37.6,24.3,28.8,0.84,11.8,8.3
Adrian Mannarino,70,6.2,3.1,61.2,68.4,51.1,60.9,34.9,22.3,30.7,0.72,9.7,5.5
Arthur Fils,70,7.5,3.8,62.0,73.5,52.0,64.9,35.9,31.9,31.4,1.02,13.0,6.0
Nikolay Davydenko,68,4.8,3.0,66.6,68.0,50.1,62.6,39.2,25.9,31.2,0.83,13.1,8.1
John Mcenroe,66,6.6,4.3,57.9,72.2,51.1,65.4,36.5,37.1,29.0,1.28,17.7,11.7
Holger Rune,66,5.7,4.3,61.0,70.1,51.4,61.6,35.1,32.1,31.7,1.01,15.8,7.2
Yevgeny Kafelnikov,64,7.6,5.4,55.2,71.9,49.1,56.8,34.9,29.7,33.3,0.89,12.0,9.7
Jiri Lehecka,61,8.9,3.5,62.9,71.9,48.0,65.3,32.3,29.7,27.2,1.09,11.1,5.0
Ugo Humbert,58,8.7,2.2,63.8,73.6,54.5,64.9,34.7,31.0,26.9,1.15,11.9,5.7
Reilly Opelka,57,21.6,2.8,65.9,77.3,55.7,68.2,27.6,38.5,30.5,1.26,11.7,4.7
Alejandro Davidovich Fokina,57,3.5,2.9,66.9,64.2,49.5,57.4,37.7,27.7,36.6,0.76,14.1,8.0
Goran Ivanisevic,57,20.4,6.4,55.4,82.1,51.0,66.2,31.6,47.7,32.7,1.46,14.2,10.7
Gilles Simon,57,4.2,2.6,59.6,66.0,50.0,56.8,38.2,21.2,27.3,0.78,10.1,6.4
Frances Tiafoe,56,8.5,2.8,59.3,71.7,52.2,58.2,33.7,28.5,29.8,0.96,12.5,6.0
Gustavo Kuerten,56,10.2,2.6,53.6,76.5,52.4,68.6,36.9,38.9,33.4,1.17,15.9,11.4
Feliciano Lopez,53,12.7,4.8,57.1,77.5,48.6,63.7,28.8,29.0,33.0,0.88,11.2,5.5
Joao Fonseca,53,7.5,2.4,66.2,71.6,53.7,57.7,36.6,32.5,28.2,1.15,14.9,4.9
Patrick Rafter,53,9.2,4.6,62.0,74.2,51.1,61.8,34.9,35.8,24.3,1.47,14.6,11.7
Borna Coric,52,6.7,2.3,62.4,71.4,52.2,61.1,34.2,22.9,29.6,0.77,10.5,5.6
Sebastian Baez,50,2.0,2.5,71.7,62.2,46.7,56.5,39.6,20.6,28.3,0.73,11.7,5.6
Jim Courier,50,7.1,3.1,61.1,72.2,53.4,60.6,36.9,33.6,27.7,1.21,16.2,9.9
Sebastian Korda,49,9.0,2.8,62.2,71.6,50.8,60.2,34.0,30.9,34.0,0.91,13.5,6.1
Fernando Gonzalez,49,8.4,4.3,61.4,72.7,48.5,62.5,35.3,38.9,32.8,1.19,20.2,9.0
Diego Schwartzman,49,2.0,3.8,63.8,63.5,50.0,52.9,37.3,18.6,29.8,0.62,10.1,6.3
Cameron Norrie,48,5.1,3.1,64.2,69.9,49.5,60.1,33.9,23.5,27.4,0.86,11.8,4.4
Nicolas Jarry,48,10.4,2.9,64.9,73.9,51.5,69.2,32.7,39.7,37.0,1.07,16.7,5.2
Miomir Kecmanovic,48,4.5,2.1,61.9,68.5,52.8,61.5,35.1,24.5,24.0,1.02,11.8,6.1
Fabio Fognini,47,3.9,4.5,59.1,66.2,47.0,56.6,35.3,24.5,34.3,0.71,13.0,7.2
Benoit Paire,47,10.6,7.0,51.4,74.3,43.0,56.0,36.2,33.3,37.0,0.9,10.2,11.0
Jan Lennard Struff,47,12.0,5.0,57.3,75.7,49.9,60.0,33.0,30.6,25.8,1.19,11.6,5.4
David Nalbandian,47,4.4,3.4,61.0,67.2,52.5,58.4,37.8,26.7,32.8,0.82,13.0,9.1
