player,matchs_chartes,ace_pct,df_pct,first_in_pct,first_won_pct,second_won_pct,bp_saved_pct,return_won_pct,winners_match,ue_match,w_ue_ratio,fh_winners_match,bh_winners_match
Iga Swiatek,226,3.9,3.5,63.5,68.4,52.8,60.1,48.7,21.9,24.2,0.91,11.6,7.7
Bianca Andreescu,186,3.3,4.4,64.3,64.3,48.8,57.9,43.7,22.8,30.4,0.75,12.3,7.9
Caroline Wozniacki,155,3.5,2.8,67.3,65.4,48.6,58.9,48.9,16.7,17.5,0.95,6.6,7.0
Elina Svitolina,147,4.5,3.9,60.7,65.8,45.7,56.4,44.2,20.0,25.2,0.79,10.1,6.0
Serena Williams,145,11.7,4.5,60.5,72.4,47.0,60.1,45.4,27.8,26.4,1.05,11.1,8.4
Elena Rybakina,130,9.3,3.8,57.6,73.0,50.5,63.8,44.3,26.3,25.3,1.04,12.0,7.0
Kiki Bertens,121,7.1,5.9,59.5,69.1,46.4,57.0,43.7,21.6,29.7,0.73,11.0,5.3
Mirra Andreeva,113,4.2,4.9,62.2,66.7,47.8,59.6,46.3,22.6,27.3,0.83,9.8,9.2
Maria Sharapova,110,5.7,8.0,62.3,67.8,44.6,58.0,45.0,24.5,30.1,0.81,12.1,7.6
Coco Gauff,109,5.7,7.7,62.2,68.9,45.3,56.5,45.2,18.9,24.8,0.76,7.9,6.8
Victoria Azarenka,98,3.8,5.9,66.1,63.4,43.5,57.3,45.4,20.4,22.7,0.9,8.7,8.6
Petra Kvitova,96,6.5,5.9,62.3,68.4,47.8,61.1,42.9,27.5,32.0,0.86,13.8,7.8
Garbine Muguruza,94,5.1,4.4,62.9,66.6,45.8,56.4,44.2,20.8,26.7,0.78,8.3,8.3
Venus Williams,90,4.7,5.6,61.2,65.9,43.9,55.0,43.7,24.1,31.0,0.78,11.8,7.9
Steffi Graf,85,4.1,2.9,66.5,65.1,50.8,57.3,46.1,23.8,29.2,0.82,15.3,5.5
Jessica Pegula,81,3.8,3.2,61.1,65.8,47.3,59.2,43.9,19.3,23.3,0.83,9.5,6.7
Sofia Kenin,78,2.2,5.2,67.4,63.1,46.6,58.2,40.2,21.6,28.0,0.77,9.3,10.3
Angelique Kerber,78,1.6,3.6,67.8,60.6,46.9,55.6,42.6,20.3,25.7,0.79,12.6,6.4
Karolina Pliskova,77,8.7,5.6,62.0,69.9,44.5,61.9,41.3,24.8,26.5,0.93,11.4,5.7
Belinda Bencic,77,3.9,5.2,63.5,67.9,44.9,57.6,43.4,20.5,21.7,0.95,8.5,9.0
Amanda Anisimova,72,3.6,5.6,63.4,63.3,47.7,56.6,44.9,25.1,31.8,0.79,12.7,9.4
Karolina Muchova,70,5.2,2.7,63.6,66.9,51.2,57.3,43.2,23.6,26.5,0.89,13.0,6.6
