date,tour,tournament,winner,loser,sets_w,sets_l,games_w,games_l,tiebreaks,odds_w,odds_l
2026-07-07,ATP,Wimbledon,Djokovic N.,Auger Aliassime F.,3,2,29,28,3,1.6,2.34
2026-07-07,ATP,Braunschweig challenger,Petkovic M.,Skatov T.,2,0,13,8,0,2.61,1.45
2026-07-07,ATP,Iasi challenger,Pavlovic L.,Silva F.,2,1,14,13,0,1.6,2.22
2026-07-07,ATP,Bogotá 5 challenger,Mena F.,Ayeni A.,2,1,16,14,0,1.52,2.41
2026-07-07,ATP,Trieste challenger,Bondioli F.,Schwaerzler J.,2,1,16,14,0,2.39,1.53
2026-07-07,ATP,Liege challenger,Onclin G.,Campana Lee G.,2,1,16,10,0,1.22,3.98
2026-07-07,ATP,Nottingham 3 challenger,Gill F.,Jansen W.,2,1,18,15,1,1.24,3.81
2026-07-07,ATP,Futures 2026,Colby R.,Shimizu Y.,2,0,12,6,0,4.34,1.18
2026-07-07,ATP,UTR Pro Tennis Series 3,Kumar S.,Skrobarcek L.,2,1,14,11,0,3.43,1.26
2026-07-07,ATP,UTR Pro Tennis Series 5,Gavrea M.,Gil F.,2,1,14,13,0,1.5,2.3
2026-07-07,ATP,UTR Pro Tennis Series 9,Wakamatsu T.,Truong T.,2,1,15,12,0,1.36,2.88
2026-07-07,ATP,Futures 2026,Blando M.,Sato C.,2,0,12,1,0,,
2026-07-07,ATP,Newport challenger,Kozlov S.,Johns G.,2,0,12,6,0,1.42,2.74
2026-07-07,WTA,Wimbledon,Muchova K.,Osaka N.,2,0,13,10,1,2.19,1.68
2026-07-07,WTA,Bastad WTA,Lepchenko V.,Zaar L.,2,1,17,16,1,2.18,1.64
2026-07-07,WTA,Contrexeville WTA,Pigato L.,Fita Boluda A.,2,1,14,13,1,1.37,2.97
2026-07-07,WTA,Aschaffenburg ITF,Zidansek T.,Schunk N.,2,0,13,8,0,1.3,3.23
2026-07-07,WTA,Haag 2 ITF,Paquet C.,Mikulskyte J.,2,0,12,4,0,1.3,3.2
2026-07-07,WTA,Columbus ITF,Kaji H.,Johnson S.,2,0,13,6,1,1.99,1.73
2026-07-07,WTA,Corroios-Seixal ITF,Saigo R.,Tse E.,2,0,13,6,0,1.16,4.65
2026-07-07,WTA,Buzau ITF,Simionescu D.,Roura Llaverias R.,2,0,12,2,0,2.57,1.45
2026-07-07,WTA,Don Benito ITF,Bertacchi A.,Berecoechea N.,2,0,13,10,1,2.55,1.46
2026-07-07,WTA,Hillcrest 2 ITF,Youri E.,Khrebtova V.,2,1,16,8,0,1.71,2.02
2026-07-07,WTA,UTR Pro Tennis Series 5,Nova A.,Svatikova L.,2,0,13,8,0,3.97,1.19
2026-07-07,WTA,Astana 14 ITF,Jang G.,Kakenova A.,2,1,17,11,0,1.05,8.31
2026-07-07,WTA,Kursumlijska Banja 9 ITF,Vlajic T.,Lekomtseva U.,2,1,18,13,0,2.77,1.39
2026-07-07,WTA,Monastir 43 ITF,Komano M.,Maloney E.,2,1,15,7,0,6.89,1.08
2026-07-07,WTA,Rancho Santa Fe ITF,Nahum G.,Mansfield K.,2,1,16,7,0,2.05,1.69
2026-07-07,WTA,Rio Claro ITF,Mediorreal Arias V.,Ferreira Banietti M.,2,0,12,1,0,1.07,7.1
2026-07-07,WTA,UTR Pro Match Series,Rennard C.,Fuduric L.,2,0,12,0,0,1.51,2.31
2026-07-07,WTA,Aschaffenburg ITF,Trevisan M.,Pohle V.,2,0,12,2,0,1.15,4.61
2026-07-07,WTA,Astana 14 ITF,Kenzhibayeva S.,Senties X.,2,0,12,2,0,1.14,5.5
2026-07-07,WTA,Columbus ITF,Gowda T.,Evans T.,2,0,10,5,0,4.53,1.16
2026-07-07,WTA,Don Benito ITF,Harvey A.,Martinez Jimenez S.,2,1,17,15,1,,
2026-07-07,WTA,Luan 2 ITF,Oh J.,Cai J.,1,0,4,0,0,1.17,4.4
2026-07-07,WTA,Monastir 43 ITF,Proietti V.,Maeland C.,2,0,13,10,1,1.48,2.5
2026-07-07,WTA,Rancho Santa Fe ITF,Quadre B.,Ziouti S.,2,0,12,1,0,1.1,5.88
2026-07-07,WTA,Rio Claro ITF,Oliveira M.,Arce Gonzalez M.,2,0,12,3,0,1.14,5.13
2026-07-08,ATP,Wimbledon,Zverev A.,Fritz T.,3,0,18,10,0,2.02,1.78
2026-07-08,ATP,Newport challenger,Blanch D.,Cassone M.,2,1,13,13,0,1.6,2.24
2026-07-08,ATP,Braunschweig challenger,Choinski J.,Rehberg M.,2,1,15,15,0,1.57,2.28
