Point de livraison (PRM);Site;Adresse;Regroupement facture;Montant TTC facture (janv.-juin 2026)
30002434075609;STEP MEZE;ROUTE DES SALINS;STEP - ASSAINISSEMENT;69558.32
50047710718488;CONSERVATOIRE INTERCOMMUNAL;51 QUAI DES MOULINS;CONSERVATOIRES;53543.57
30002431730880;AIRE DES GENS DU VOYAGE MARSEILAN;ROUTE D'AGDE RD 51;GENS DU VOYAGE;43688.66
30002434087199;COMPLEXE OIKOS;ROUTE DE MEZE;BATIMENTS ADMIN;29465.85
50056439897755;THEATRE MOLIERE;RUE PROUDHON;CULTURE DIVERS;25429.29
30002430027319;PISCINE DI STEFANO;RUE RACINE;PISCINES;19926.16
50094722258520;POLE UNIVERSITAIRE MICHELE WEIL;1 RUE RASPAIL;ENSEIGNEMENT SUPERIEUR;19040.36
50093860610138;STEP VILLEVEYRAC;ROUTE DE MEZE;STEP - ASSAINISSEMENT;18878.11
30002431360760;MEDIATHEQUE FRANCOIS MITTERAND;BD CASANOVA;MEDIATHEQUES;14281.73
30002431360547;MEDIATHEQUE ANDRE MALRAUX;AVENUE MENDES FRANCE;MEDIATHEQUES;13775.58
30002430890178;LAGUNAGE VIC LA GARDIOLE;LAGUNAGE VIC LA GARDIOLE;STEP - ASSAINISSEMENT;12919.78
30002431622338;LAGUNAGES ONGLOUS;AVENUE DU SOLEIL MARSEILLAN;STEP - ASSAINISSEMENT;12697.21
50092764060808;MEDIATHEQUE INTERCOMMUNALE;ZAC DES PIELLES -;MEDIATHEQUES;12251.81
30002431129242;STEP MIREVAL;CHEMIN DE L ETANG;STEP - ASSAINISSEMENT;10738.33
30002431618492;LAGUNAGES PRADELS;CHEMIN DES PRADELS;STEP - ASSAINISSEMENT;10458.45
50076845103701;AIRE GENS DU VOYAGE FRONTIGNAN;CARRIERE DE PIOCH;GENS DU VOYAGE;9464.49
30002430481801;STAND DE TIR;CHEMIN DU PONT LEVIS;SPORTS DIVERS;9037.76
30002431532113;ECOSITE TJ GENERAL;STATION DE LAGUNAGE;ECOSITE MEZE - IR - IMMEUBLES DE RA;7276.22
50089798460977;MEDIATHEQUE OLYMPE DE GOUGES;16 RUE MAURICE CLAVEL;MEDIATHEQUES;7258.60
50024398628114;BUREAUX PEPINIERE FLEXYS;AVENUE DES EAUX BLANCHES;BATIMENTS ADMIN;5639.06
30002434035999;STEP MONTBAZIN;COMPLEXE OIKOS CD5E;STEP - ASSAINISSEMENT;5297.75
50030054332888;PARKING VISITEUR GARE;PLACE ANDRE CAMBON;TVI - VOIRIE - BORNES ELECTRIQUES;4350.39
24300578701307;MUSEE DE L ETANG DE THAU;QUAI DU PORT;MUSEES;3963.29
24314905775517;POLE DECHETS DE MARSEILLAN;1 RUE DES COMPAGNONS;DECHETTERIES COLLECTE;3161.55
24364109881940;BIBLIOTHEQUE MEZE;19 PLACE DE L ANCIEN HOSPICE;MEDIATHEQUES;3109.66
50093421333416;POLE CYCLE DE LEAU;85 RUE DU PHARE DE ROQUEROLS;EAU POTABLE;3063.51
24353545553601;VILLA GALLO ROMAINE;AV DE LA GARE;MUSEES;3039.14
50036539895729;PEM NORD PARKING;8301 ROUTE DE BALARUC;TVI - VOIRIE - BORNES ELECTRIQUES;2715.93
50093162999287;AIRE DES GENS DU VOYAGE MEZE;LIEU DIT QUATRE CHEMINS;GENS DU VOYAGE;2586.03
24316931824708;JARDIN ANTIQUE;AV DE LA GARE;MUSEES;2456.21
30002431038901;PR PLUVIAL FONTREGEIRE;RTE DE BELLE BOUCHE MARSEILLAN;PLUVIAL;2295.68
30002430016730;PR PLUVIAL PAIROLET;CHEMIN DU PAIROLET MARSEILLAN;PLUVIAL;1898.40
30002431671924;PR PLUVIAL SESQUIERS;CHEMIN DU CEINTURON;PLUVIAL;1650.54
24326193770048;BUREAUX ECOSITE N10;RUE DES GENETS;ECOSITE MEZE - IR - IMMEUBLES DE RA;1597.03
50086185443418;POLE CYCLE DE LEAU;85 RUE DU PHARE DE ROQUEROLS;EAU POTABLE;1582.19
24330680082620;DECHETTERIE FRONTIGNAN;RUE DES PRES SAINT MARTIN;DECHETTERIES COLLECTE;1347.70
24336324150261;LOGEMENT FONCTION DGS;4 RUE ROMAIN ROLLAND;BATIMENTS DIVERS;1246.26
50054793368693;GARAGE AUTOMOBILE ASSOCIATIF;AVENUE JEAN MERMOZ;BATIMENTS DIVERS;1159.24
50018605847190;RACCORDEMENT ABRI CHAUFFEUR;31 AVENUE DE MONTPELLIER;TRANSPORT;1118.31
24343559996743;DECHETTERIE SETE;AV DES EAUX BLANCHES;DECHETTERIES COLLECTE;1112.08
24337337003176;PEM SUD;PLAN DE LA GARE;TVI - VOIRIE - BORNES ELECTRIQUES;1034.61
