id,nom_local,type_local,building_id,nom_batiment,latitude,longitude,dgfip_reference_norm,created_at
2420,13 IMP JEAN ROBERT PINET - ESPACE DE L AMITIE LES HERBETTES,PRINCIPAL,1135,13 IMP JEAN ROBERT PINET - ESPACE DE L AMITIE LES HERBETTES,,,,2026-08-20 07:56:06.502112+00
2421,3 RUE RAPIDE - OFFICE DU TOURISME & BUREAU DE L'OPPOSITION,PRINCIPAL,1140,3 RUE RAPIDE - OFFICE DU TOURISME & BUREAU DE L'OPPOSITION,,,,2026-08-20 07:56:06.963838+00
2422,3 SOMMETS,PRINCIPAL,1141,3 SOMMETS,,,,2026-08-20 07:56:07.083019+00
2423,47 RUE PAUL VALERY,PRINCIPAL,1146,47 RUE PAUL VALERY,,,,2026-08-20 07:56:07.476744+00
2424,8 RUE DU 8 MAI 1945 - COMMERCE & ARTISANAT,PRINCIPAL,1148,8 RUE DU 8 MAI 1945 - COMMERCE & ARTISANAT,,,,2026-08-20 07:56:07.645395+00
2425,VIE DES QUARTIERS,PRINCIPAL,1149,VIE DES QUARTIERS,,,,2026-08-20 07:56:07.765319+00
2426,ACCUEIL DE LOISIRS SANS HEBERGEMENT CHÂTEAU VERT,PRINCIPAL,1151,ACCUEIL DE LOISIRS SANS HEBERGEMENT CHÂTEAU VERT,,,,2026-08-20 07:56:08.004061+00
2427,RESTAURATION CHÂTEAU VERT,PRINCIPAL,1152,RESTAURATION CHÂTEAU VERT,,,,2026-08-20 07:56:08.126808+00
2428,ACCUEIL DE LOISIRS SANS HEBERGEMENT CYBER ESPACE,PRINCIPAL,1153,ACCUEIL DE LOISIRS SANS HEBERGEMENT CYBER ESPACE,,,,2026-08-20 07:56:08.248793+00
2429,RESTAURATION CYBER ESPACE,PRINCIPAL,1154,RESTAURATION CYBER ESPACE,,,,2026-08-20 07:56:08.372192+00
2430,AIRE MECANIQUE,PRINCIPAL,1155,AIRE MECANIQUE,,,,2026-08-20 07:56:08.492557+00
2431,ALP PAUL LANGEVIN - EX HALTE GARDERIE LANGEVIN,PRINCIPAL,1156,ALP PAUL LANGEVIN - EX HALTE GARDERIE LANGEVIN,,,,2026-08-20 07:56:08.544328+00
2432,ANCIENNE ECOLE MATERNELLE COLBERT,PRINCIPAL,1158,ANCIENNE ECOLE MATERNELLE COLBERT,,,,2026-08-20 07:56:08.785595+00
2433,ANCIEN RESTAURANT SCOLAIRE COLBERT,PRINCIPAL,1159,ANCIEN RESTAURANT SCOLAIRE COLBERT,,,,2026-08-20 07:56:08.905368+00
2434,BANQUE DE FRANCE,PRINCIPAL,1163,BANQUE DE FRANCE,,,,2026-08-20 07:56:09.337009+00
2435,20 RUE PAUL VALERY - BAR DE L'HOTEL DE VILLE,PRINCIPAL,1164,20 RUE PAUL VALERY - BAR DE L'HOTEL DE VILLE,,,,2026-08-20 07:56:09.458938+00
2436,BUNGALOW ZAM,PRINCIPAL,1165,BUNGALOW ZAM,,,,2026-08-20 07:56:09.575849+00
