id|code_bien|nom_astech_actuel|designation|nom_po2_cible
826|BATI00272|3 DIGUES|POSTE DE SECOURS DES 3 DIGUES|POSTE DE SECOURS 3 DIGUES
827|BATI00140|A.P.P.|ATELIER DE PEDAGOGIE PERSONNALISEE A.P.P.|ATELIER DE PEDAGOGIE PERSONNALISEE A.P.P.
829|BATI00368|ABEL APARICI|ESPACE DE L AMITIE ABEL APARICI AMICALE DES SAINTS CLAIRIENS|ESPACE DE L AMITIE ABEL APARICI AMICALE DES SAINTS CLAIRIENS
833|BATI00438|ALFRED NAKACHE|GYMNASE ALFRED NAKACHE|GYMNASE ALFRED NAKACHE
853|BATI00099|ARCHIVES MUNICIPALES|ARCHIVES MUNICIPALES|ARCHIVES MUNICIPAL
863|BATI00251|BAINS DOUCHES|BAINS DOUCHES|LES NOUVEAUX BAINS DOUCHES
869|BATI00446|BIASCAMANO|PISCINE BIASCAMANO|PISCINE BIASCAMANO
875|BATI00426|BUNGALOW Z.A.M.|BUNGALOW ZONE D ACTIVITES MUNICIPALES Z.A.M.|BUNGALOW ZAM
888|BATI00025|CASERNE VAUBAN|CASERNE VAUBAN|LA CASERNE VAUBAN
889|BATI00274|CASTELLAS|POSTE DE SECOURS DU CASTELLAS|POSTE DE SECOURS CASTELLAS
934|BATI00441|DI STEFANO|GYMNASE DI STEFANO|GYMNASE DI STEFANO
939|BATI00311|ECOLE AGNES VARDA|ECOLE MATERNELLE AGNES VARDA|ECOLE MATERNELLE AGNES VARDA
940|BATI00297|ECOLE ANATOLE FRANCE|ECOLE ELEMENTAIRE ANATOLE FRANCE|ECOLE ELEMENTAIRE ANATOLE FRANCE
941|BATI00298|ECOLE ARAGO|ECOLE ELEMENTAIRE ARAGO|ECOLE ELEMENTAIRE ARAGO
942|BATI00296|ECOLE BRASSENS|ECOLE ELEMENTAIRE GEORGES BRASSENS|ECOLE ELEMENTAIRE GEORGES BRASSENS
943|BATI00308|ECOLE COLBERT|ECOLE MATERNELLE COLBERT|ANCIENNE ECOLE MATERNELLE COLBERT
944|BATI00307|ECOLE CONDORCET|ECOLE MATERNELLE CONDORCET|ECOLE MATERNELLE CONDORCET
946|BATI00312|ECOLE EUGENIE COTTON|ECOLE MATERNELLE EUGENIE COTTON|ECOLE MATERNELLE EUGENIE COTTON
947|BATI00299|ECOLE FERDINAND BUISSON|ECOLE ELEMENTAIRE FERDINAND BUISSON|ECOLE ELEMENTAIRE FERDINAND BUISSON
948|BATI00306|ECOLE GASTON BABY|ECOLE MATERNELLE GASTON BABY|ECOLE MATERNELLE GASTON BABY
949|BATI00314|ECOLE HELENE BOUCHER|ECOLE MATERNELLE HELENE BOUCHER|ECOLE MATERNELLE HELENE BOUCHER
952|BATI00310|ECOLE LOUIS PASTEUR|ECOLE MATERNELLE LOUIS PASTEUR|ECOLE MATERNELLE LOUIS PASTEUR
953|BATI00315|ECOLE LOUISE MICHEL|ECOLE MATERNELLE LOUISE MICHEL|ECOLE MATERNELLE LOUISE MICHEL
956|BATI00294|ECOLE PAUL BERT|ECOLE ELEMENTAIRE PAUL BERT|ECOLE ELEMENTAIRE PAUL BERT
958|BATI00316|ECOLE SUZANNE LACORE|ECOLE MATERNELLE SUZANNE LACORE|ECOLE MATERNELLE SUZANNE LACORE
970|BATI00013|EX TRIBUNAL|EX TRIBUNAL D INSTANCE|EX TRIBUNAL D'INSTANCE
995|BATI00450|FRANCOIS MAILLOL|STADE FRANCOIS MAILLOL|STADE FRANCOIS MAILLOL
996|BATI00414|FRANCOISE PASCAL|BASE NAUTIQUE FRANCOISE PASCAL|BASE NAUTIQUE FRANCOISE PASCAL
997|BATI00373|G.I.H.P.|GROUPEMENT POUR L INSERTION DES PERSONNES HANDICAPEES PHYSIQUES G.I.H.P.|GROUPEMENT POUR L INSERTION DES PERSONNES HANDICAPEES PHYSIQUES G.I.H.P.
1002|BATI00236|GEORGES BRASSENS|RESTAURATION SCOLAIRE GEORGES BRASSENS|RESTAURANT SCOLAIRE GEORGES BRASSENS
1007|BATI00444|HALLE MARTY|HALLE DES SPORTS MARTY|HALLES DES SPORTS MARTY
1019|BATI00275|LAZARET|POSTE DE SECOURS DU LAZARET|POSTE DE SECOURS LAZARET
1022|BATI00321|LE PONT LEVIS|ESPACE DE L AMITIE LE PONT LEVIS|PONT LEVIS
1029|BATI00322|LES METAIRIES|ESPACE DE L AMITIE LES METAIRIES|RESIDENCE LES METAIRIES - ESPACE DE L AMITIE LES METAIRIES
1075|BATI00177|M.I.A.M.|MUSEE INTERNATIONAL DES ARTS MODESTES M.I.A.M.|MUSEE INTERNATIONAL DES ARTS MODESTES
1088|BATI00440|GYMNASE MAURICE CLAVEL|GYMNASE MAURICE CLAVEL|CENTRE SPORTIF MAURICE CLAVEL
1090|BATI00443|MAURICE VIE|GYMNASE MAURICE VIE|GYMNASE MAURICE VIE
1101|BATI00300|PAUL LANGEVIN ELEMENTAIRE|ECOLE ELEMENTAIRE PAUL LANGEVIN|ECOLE ELEMENTAIRE PAUL LANGEVIN
1102|BATI00317|PAUL LANGEVIN MATERNELLE|ECOLE MATERNELLE PAUL LANGEVIN|ECOLE MATERNELLE PAUL LANGEVIN
1124|BATI00248|REST. SCOLAIRE ARAGO MICHELET|RESTAURATION SCOLAIRE ARAGO MICHELET|RESTAURANT SCOLAIRE ARAGO/MICHELET
1128|BATI00239|RESTAURATION LA RENAISSANCE|RESTAURANT SCOLAIRE LA RENAISSANCE|RESTAURANT SCOLAIRE LA RENAISSANCE
1129|BATI00242|RESTAURATION LOUISE MICHEL|RESTAURATION SCOLAIRE LOUISE MICHEL|RESTAURANT SCOLAIRE LOUISE MICHEL
1130|BATI00241|RESTAURATION SCOLAIRE A FRANCE|RESTAURATION SCOLAIRE ANATOLE FRANCE|RESTAURANT SCOLAIRE ANATOLE FRANCE
1140|BATI00150|SAINT JOSEPH|EGLISE SAINT JOSEPH|EGLISE CATHOLIQUE ST JOSEPH
1141|BATI00151|SAINT LOUIS|EGLISE SAINT LOUIS|EGLISE CATHOLIQUE SAINT LOUIS
1144|BATI00156|SAINT PIERRE|PRESBYTERE SAINT PIERRE|PRESBYTERE SAINT PIERRE
1167|BATI00131|SERVICES DES AINES|SERVICES DES AINES|SERVICE DES AINES
1182|BATI00134|VIE DES QUARIERS|VIE DES QUARTIERS|VIE DES QUARTIERS
1201|BATI00282|WC PUBLICS SAINT CLAIR|WC PUBLICS SAINT CLAIR|WC PUBLIC ST CLAIR
