id,code_bien,nomcourt,status,building_id,latitude,longitude,updated_at,motif
827,BATI00140,A.P.P.,lie,1174,43.410843,3.691793,2026-08-24 07:17:54.424149+00,rattache-deplace
829,BATI00368,ABEL APARICI,lie,1196,43.401698,3.685405,2026-08-24 07:19:32.54524+00,rattache-deplace
833,BATI00438,ALFRED NAKACHE,lie,1300,43.409839,3.691597,2026-08-24 07:20:05.569764+00,rattache-deplace
834,BATI00026,AMERICA CLUB,lie,1157,43.394004,3.681017,2026-08-24 07:16:47.591633+00,rattache-deplace
853,BATI00099,ARCHIVES MUNICIPALES,lie,1269,43.405717,3.693449,2026-08-24 07:17:38.973848+00,rattache-deplace
863,BATI00251,BAINS DOUCHES,lie,1264,49.251571,4.023534,2026-08-24 07:18:30.506587+00,rattache-deplace
865,BATI00015,BANQUE DE FRANCE,lie,1163,43.402026,3.695895,2026-08-24 07:16:47.591633+00,rattache-deplace
869,BATI00446,BIASCAMANO,lie,1185,43.396395,3.669438,2026-08-24 07:20:05.569764+00,rattache-deplace
873,BATI00016,BOURSE DU TRAVAIL,lie,1169,43.403683,3.694171,2026-08-24 07:16:47.591633+00,rattache-deplace
875,BATI00426,BUNGALOW Z.A.M.,lie,1165,43.396539,3.662655,2026-08-24 07:20:05.569764+00,rattache-deplace
888,BATI00025,CASERNE VAUBAN,lie,1259,43.411874,3.683457,2026-08-24 07:16:47.591633+00,rattache-deplace
897,BATI00423,CENTRE F.J. RIGAL,a_traiter,,-12.738627,45.140603,2026-08-24 07:20:05.569764+00,hors-commune
909,BATI00329,CHATEAU VERT,a_traiter,,43.648278,5.09665,2026-08-24 07:19:06.816953+00,hors-commune
912,BATI00004,CIMETIERE LE PY,lie,1182,43.407449,3.670679,2026-08-24 07:06:36.138076+00,rattache-deplace
919,BATI00384,COMITE QUART. LE QUARTIER NAU,a_traiter,,49.31581,5.798233,2026-08-24 07:19:47.876181+00,hors-commune
934,BATI00441,DI STEFANO,lie,1248,43.400909,3.698718,2026-08-24 07:20:05.569764+00,rattache-deplace
939,BATI00311,ECOLE AGNES VARDA,lie,1216,43.410295,3.674999,2026-08-24 07:18:50.919073+00,rattache-deplace
940,BATI00297,ECOLE ANATOLE FRANCE,lie,1206,43.412961,3.66533,2026-08-24 07:18:50.919073+00,rattache-deplace
941,BATI00298,ECOLE ARAGO,lie,1200,43.406462,3.692855,2026-08-24 07:18:50.919073+00,rattache-deplace
942,BATI00296,ECOLE BRASSENS,lie,1209,43.415155,3.66364,2026-08-24 07:18:50.919073+00,rattache-deplace
943,BATI00308,ECOLE COLBERT,lie,1158,43.398584,3.69537,2026-08-24 07:18:50.919073+00,rattache-deplace
944,BATI00307,ECOLE CONDORCET,lie,1217,43.403927,3.69939,2026-08-24 07:18:50.919073+00,rattache-deplace
945,BATI00158,ECOLE DES BEAUX ARTS,lie,1203,43.401784,3.692017,2026-08-24 07:18:12.801267+00,rattache-deplace
946,BATI00312,ECOLE EUGENIE COTTON,lie,1218,43.407608,3.680382,2026-08-24 07:18:50.919073+00,rattache-deplace
947,BATI00299,ECOLE FERDINAND BUISSON,lie,1208,43.410295,3.674999,2026-08-24 07:18:50.919073+00,rattache-deplace
948,BATI00306,ECOLE GASTON BABY,lie,1219,43.410507,3.698909,2026-08-24 07:18:50.919073+00,rattache-deplace
949,BATI00314,ECOLE HELENE BOUCHER,lie,1220,43.410103,3.686275,2026-08-24 07:18:50.919073+00,rattache-deplace
952,BATI00310,ECOLE LOUIS PASTEUR,lie,1224,43.401013,3.693212,2026-08-24 07:18:50.919073+00,rattache-deplace
953,BATI00315,ECOLE LOUISE MICHEL,lie,1225,43.415155,3.66364,2026-08-24 07:18:50.919073+00,rattache-deplace
955,BATI00309,ECOLE MATERNELLE MICHELET,lie,1199,43.406006,3.693418,2026-08-24 07:18:50.919073+00,rattache-deplace
956,BATI00294,ECOLE PAUL BERT,lie,1215,43.401296,3.693104,2026-08-24 07:18:50.919073+00,rattache-deplace
957,BATI00295,ECOLE RENAISSANCE,propose,1213,49.749004,4.72938,2026-08-24 07:27:49.7362+00,rattache-deplace
