id_ligne;source_fichier;page_source_pdf;ordre_dans_page;code_niveau_1;libelle_niveau_1;code_niveau_2;libelle_niveau_2;niveau_3;niveau_4;niveau_5;equipement;sypemi_mini_annees;sypemi_reference_annees;sypemi_maxi_annees;votre_proposition_mini_annees;votre_proposition_reference_annees;votre_proposition_maxi_annees;fiche_cee
1;Guide de durée de vie d'un matériel .pdf;5;1;A.1;Ouvrages;A.1.0;Le Gros-Œuvre, la Structure en Béton Armé ou Précontraint ou en Métal;;;;Mur, plancher, terrasse;;100;;;;;
2;Guide de durée de vie d'un matériel .pdf;5;2;A.1;Ouvrages;A.1.0;Le Gros-Œuvre, la Structure en Béton Armé ou Précontraint ou en Métal;;;;Poteau, poutre;;100;;;;;
3;Guide de durée de vie d'un matériel .pdf;5;3;A.1;Ouvrages;A.1.0;Le Gros-Œuvre, la Structure en Béton Armé ou Précontraint ou en Métal;;;;Escalier;;100;;;;;
4;Guide de durée de vie d'un matériel .pdf;5;4;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Façades et maçonneries (pierre, brique, enduit ciment, matériaux collés, bardage);;;Mur rideau;;50;;;;;
5;Guide de durée de vie d'un matériel .pdf;5;5;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Façades et maçonneries (pierre, brique, enduit ciment, matériaux collés, bardage);;;Bardage métallique simple ou double peau, laquage renforcé;;50;;;;;
6;Guide de durée de vie d'un matériel .pdf;5;6;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Façades et maçonneries (pierre, brique, enduit ciment, matériaux collés, bardage);;;Bac acier prélaqué;;40;;;;;
7;Guide de durée de vie d'un matériel .pdf;5;7;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Façades et maçonneries (pierre, brique, enduit ciment, matériaux collés, bardage);;;Enduit extérieur;10;15;30;;;;
8;Guide de durée de vie d'un matériel .pdf;5;8;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Façades et maçonneries (pierre, brique, enduit ciment, matériaux collés, bardage);;;Verrière;;30;;;;;
9;Guide de durée de vie d'un matériel .pdf;5;9;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Toitures (tuiles, ardoise, bacs métalliques, zinc, etc.).;;;Couverture tuile terre cuite;15;20;50;;;;
10;Guide de durée de vie d'un matériel .pdf;5;10;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Toitures (tuiles, ardoise, bacs métalliques, zinc, etc.).;;;Couverture tuile béton;25;30;50;;;;
